"id";"cpu_percent";"ram_percent";"disk_percent";"download";"upload";"temp_celsius";"swap_percent";"tasks";"clock";"dataHora"
50;"25.1";"51.5";"48.4";"80.4";"16.8";"49.2";"65.6";"228.2";"3904.0";"2020-10-16 14:45:19"
51;"20.0";"51.5";"48.4";"46.4";"14.6";"47.4";"65.5";"228.2";"3909.0";"2020-10-16 14:45:24"
52;"25.0";"51.5";"48.4";"37.4";"15.8";"49.4";"65.5";"226.8";"3909.0";"2020-10-16 14:45:30"
53;"21.3";"51.5";"48.4";"35.8";"17.4";"47.6";"65.5";"226.0";"3909.0";"2020-10-16 14:45:35"
54;"15.5";"51.5";"48.4";"57.6";"17.2";"45.6";"65.5";"226.0";"3914.0";"2020-10-16 14:45:40"
55;"21.7";"51.5";"48.4";"84.6";"16.4";"48.6";"65.5";"226.0";"3909.0";"2020-10-16 14:45:45"
56;"29.2";"51.5";"48.4";"93.2";"13.8";"47.6";"65.7";"226.0";"3904.0";"2020-10-16 14:45:50"
57;"17.2";"51.4";"48.4";"101.8";"12.4";"46.4";"65.5";"224.4";"3914.0";"2020-10-16 14:45:55"
58;"33.8";"51.5";"48.4";"49.2";"13.8";"50.4";"65.6";"228.6";"3904.0";"2020-10-16 14:46:00"
59;"17.3";"51.5";"48.4";"41.4";"16.8";"47.2";"65.6";"229.0";"3909.0";"2020-10-16 14:46:05"
60;"11.7";"51.6";"48.4";"60.8";"13.2";"46.8";"65.6";"229.0";"3919.0";"2020-10-16 14:46:11"
61;"12.4";"51.5";"48.4";"81.8";"12.8";"46.6";"65.5";"229.0";"3914.0";"2020-10-16 14:46:16"
62;"16.3";"51.5";"48.4";"55.2";"16.4";"47.0";"65.6";"229.0";"3914.0";"2020-10-16 14:46:21"
63;"17.5";"51.5";"48.4";"32.2";"14.2";"47.6";"65.5";"226.8";"3914.0";"2020-10-16 14:46:26"
64;"17.7";"51.6";"48.4";"38.6";"18.4";"49.4";"65.7";"227.2";"3929.0";"2020-10-16 14:46:31"
65;"19.9";"51.6";"48.4";"103.6";"15.8";"48.8";"65.8";"228.0";"3914.0";"2020-10-16 14:46:36"
66;"49.3";"52.0";"48.4";"209.0";"19.8";"52.8";"66.0";"228.4";"3914.0";"2020-10-16 14:46:41"
67;"19.8";"52.1";"48.4";"39.4";"13.0";"49.8";"66.0";"227.4";"3909.0";"2020-10-16 14:46:47"
68;"9.3";"51.7";"48.4";"41.4";"16.2";"46.4";"65.6";"226.0";"3909.0";"2020-10-16 14:46:52"
